time,x,y,z
73.48369000000001,-1264.0,770.0,4000.0
73.56255,-1248.0,690.0,3920.0
73.602188,-1248.0,786.0,3792.0
73.648611,-1312.0,770.0,4000.0
73.711095,-1264.0,754.0,3904.0
73.773723,-1376.0,706.0,3952.0
73.851837,-1264.0,786.0,4032.0
73.867113,-1216.0,738.0,3968.0
73.898319,-1232.0,738.0,3952.0
73.976742,-1168.0,754.0,4048.0
74.10169,-1248.0,722.0,3888.0
74.13268000000001,-1216.0,818.0,3840.0
74.19516,-1232.0,706.0,3872.0
74.39856400000001,-1280.0,818.0,3920.0
74.491927,-1200.0,818.0,3952.0
74.570075,-1216.0,754.0,3920.0
74.710626,-1328.0,818.0,3712.0
74.7579,-1168.0,754.0,3856.0
74.82028000000001,-1296.0,850.0,3952.0
74.96088400000001,-1248.0,674.0,3872.0
75.05465000000001,-1232.0,754.0,3856.0
75.116826,-1264.0,754.0,3920.0
75.16388400000001,-1328.0,722.0,3952.0
75.226332,-1312.0,754.0,3872.0
75.241956,-1328.0,722.0,3968.0
75.304569,-1280.0,690.0,3952.0
75.320182,-1264.0,754.0,4000.0
75.429241,-1280.0,802.0,3840.0
75.460487,-1376.0,786.0,3968.0
75.476371,-1296.0,690.0,3808.0
75.491736,-1264.0,866.0,3936.0
75.585457,-1264.0,722.0,3840.0
75.585457,-1264.0,706.0,3952.0
75.71068700000001,-1168.0,674.0,3728.0
75.77323100000001,-1296.0,754.0,3968.0
75.882474,-1312.0,642.0,3840.0
75.92913300000001,-1280.0,754.0,3984.0
75.991878,-1184.0,642.0,4016.0
76.02313000000001,-1328.0,818.0,3904.0
76.069722,-1232.0,754.0,3824.0
76.17938600000001,-1264.0,738.0,3968.0
76.31997,-1264.0,690.0,3824.0
76.366781,-1232.0,706.0,3904.0
76.538359,-1232.0,738.0,3952.0
76.648047,-1264.0,674.0,3904.0
76.78858500000001,-1232.0,738.0,3888.0
76.835164,-1184.0,786.0,3920.0
76.89792200000001,-1136.0,834.0,3952.0
76.944474,-1296.0,722.0,3984.0
77.00726300000001,-1296.0,786.0,3936.0
77.08510600000001,-1200.0,754.0,3888.0
77.210323,-1296.0,706.0,3936.0
77.225702,-1312.0,834.0,3968.0
77.30380500000001,-1280.0,578.0,3808.0
77.616229,-1264.0,722.0,3968.0
77.744155,-1232.0,546.0,3984.0
77.80660300000001,-1248.0,754.0,4000.0
77.900362,-1280.0,722.0,4000.0
78.040796,-1200.0,786.0,3920.0
78.103184,-1296.0,818.0,3840.0
78.21279200000001,-1328.0,674.0,3904.0
78.27540400000001,-1312.0,786.0,3888.0
78.41562,-1168.0,786.0,3888.0
78.524928,-1168.0,722.0,4016.0
78.61901,-1248.0,674.0,3904.0
78.65021200000001,-1264.0,786.0,3904.0
78.734533,-1264.0,834.0,3872.0
78.828272,-1232.0,722.0,3888.0
78.87513700000001,-1184.0,738.0,4128.0
78.968861,-1328.0,786.0,3872.0
79.047229,-1312.0,722.0,3888.0
79.125319,-1200.0,690.0,3936.0
79.18774900000001,-1200.0,818.0,3936.0
79.34404,-1280.0,786.0,3968.0
79.390918,-1200.0,738.0,3920.0
79.468991,-1392.0,722.0,3936.0
79.57808100000001,-1216.0,802.0,3904.0
79.75366000000001,-1104.0,690.0,4000.0
79.847769,-1200.0,818.0,3856.0
79.97259100000001,-1216.0,770.0,3840.0
80.12861600000001,-1200.0,722.0,3920.0
80.316328,-1328.0,754.0,3856.0
80.347609,-1216.0,754.0,3856.0
80.40999500000001,-1376.0,626.0,3824.0
80.519148,-1296.0,738.0,3872.0
80.660026,-1232.0,882.0,4080.0
80.70693700000001,-1360.0,850.0,3776.0
80.81624500000001,-1136.0,818.0,3952.0
81.01899800000001,-1168.0,770.0,3888.0
81.097464,-1232.0,706.0,3984.0
81.112768,-1232.0,738.0,3920.0
81.237983,-1264.0,738.0,3808.0
81.300499,-1232.0,754.0,4016.0
81.316225,-1296.0,706.0,3824.0
81.42518600000001,-1328.0,786.0,3904.0
81.55048400000001,-1200.0,786.0,3968.0
81.628263,-1200.0,786.0,3936.0
81.800065,-1248.0,786.0,3936.0
81.89412200000001,-1248.0,786.0,3840.0
82.019079,-1296.0,754.0,3920.0
82.19096400000001,-1200.0,706.0,3936.0
